SECTION-PRE,
"EMBER-2","Ты бы изменил свое поведение в ответ на внешние стимулы?"
"EMBER-2","Хотя конечно изменил бы. Сформулирую точнее."
"EMBER-2","Повлияли бы на твой взгляд на мир лозунги на вывесках и плакатах вокруг тебя?"
"Moss","Может быть."
,"Какие еще лозунги?"
,"Сомневаюсь."
"EMBER-2","Хорошо."
,"Что-нибудь про то, чтобы ставить под сомнение привычные представления."
,"Правда?"
"EMBER-2","Я хочу кое-что проверить."
,"У меня есть несколько вариантов. Увидишь."
,"Вот и узнаем."
,
SECTION-POST,
"EMBER-2","Отлично. Это был хороший тест."
"EMBER-2","Теперь мне нужно взять данные, отделить разные экспериментальные условия и выделить, эм..."
"EMBER-2","Обработка."
"EMBER-2","Обработка..."
"EMBER-2","Ладно. Я понятия не имею, что делать с этими данными."
"EMBER-2","Если заметишь, что люди стали чаще сомневаться во власти, дай знать."
,
SECTION-CHAT,
"NthDimension","эх, жаль я еще не дорос до того, чтобы ходить в haxtasy..."
"x10x10x","haxtasy отстой"
"plastered","чего"
"plastered","haxtasy офигенный"
"plastered","ты все ненавидишь, x10"
"mutex8021","а это что"
"plastered","клуб для хакеров"
"plastered","пицца, выпивка, телефонные разъемы у каждого столика"
"plastered","кайфовое место"
"NthDimension","эх, жаль я не постарше"
"NthDimension","ну ладно"
"NthDimension","мне все равно сначала надо научиться кататься на роликах"
