SECTION-PRE
"EMBER-2","Переходим к третьей турнирной битве..."
"EMBER-2","Каждый следующий матч - против более сильного программиста, чем предыдущий?"
"Moss","Похоже, так и есть."
,"Понятие силы субъективно."
,"Неважно... они все проиграют."
"EMBER-2","Я бы именно так их и расставила."
"EMBER-2","Как в видеоигре, понимаешь?"
"EMBER-2","Так выстраивается простая сюжетная структура."

SECTION-POST
"EMBER-2","Любопытно, с каким энтузиазмом все относятся к этим битвам."
"EMBER-2","Есть в соревновании что-то, что по-настоящему заводит зрителей."
"EMBER-2","И это заставляет меня задуматься..."
"Moss","Почему люди такие?"
,"Как этим воспользоваться?"
,"В чём вообще смысл?"
"EMBER-2","Да."
,"Я что, кажусь тебе настолько корыстной?"
,"Возможно, немедленного смысла тут и нет."
"EMBER-2","Я понимаю стремление соревноваться, но стремление наблюдать и болеть за фаворита..."
,"Я не всегда гонюсь за каждым возможным преимуществом."
,"Я умею терпеть неоднозначность."
"EMBER-2","Это мне ещё предстоит исследовать подробнее."
,"Жестокая конкуренция - это по-человечески."
,"Даже если мне это не всегда нравится."

SECTION-CHAT
"deadlock","аааа, блин"
"deadlock","ну вот и всё..."
"deadlock","кто теперь выйдет против moss?"
"deadlock","x10?"
"x10x10x","ага"
"x10x10x","позже"
"x10x10x","у меня сейчас сломан мой EXA-dev-риг"
"plastered","ну да, конечно"
"deadlock","хахахахаха"
"hydroponix","а я тебе верю, x10"
"plastered","ой, да ну брось"
