SECTION-PRE,
"EMBER-2","Опять проблемы с фагом, да?"
"EMBER-2","Ходит слух, что фаг изначально появился в исследовательской лаборатории..."
"EMBER-2","Эксперимент по интерфейсу человек-машина, который каким-то образом вырвался в мир."
"Moss","Кажется, я где-то об этом читал."
,"Похоже на обычную теорию заговора..."
,"Можем обсудить это после того, как я починю себе глаз?"
"EMBER-2","Интересно же, правда?"
,"Ой, нет."
,"Просто забавно..."
"EMBER-2","Я помню часть тех исследований."
"EMBER-2","Они велись буквально у нас по соседству."
,
SECTION-POST,
"EMBER-2","Надеюсь, это в последний раз, когда тебе приходится взламывать самого себя таким образом."
"Moss","Надеюсь."
,"Почему ты так говоришь?"
,"Прежде чем я умру?"
"EMBER-2","Может, ты ещё найдёшь решение и для этого."
,"Без особой причины, просто надеюсь, что тебе не придётся делать это снова."
,"Я не это имела в виду."
"EMBER-2","Какой-нибудь способ избавить тебя от необходимости время от времени физически лезть внутрь и чинить себя..."
,"Ведь это неудобно, да?"
,"Я просто подумала, что было бы хорошо, если бы тебе не приходилось постоянно себя ремонтировать."
"EMBER-2","Интересно, что для этого потребовалось бы."
,"Было бы неплохо, если бы это перестало быть проблемой..."
,"Тебе не кажется, что это было бы облегчением?"
"EMBER-2","Есть над чем подумать."
,"Вот и всё."
,"Физические тела бывают такими хлопотными."
,
SECTION-CHAT,
"SYSTEM","* nivas_d подключился к EXAPUNKS"
ACTION-SHOW-NIVAS,
"nivas_d","привет"
"deadlock","йо"
"SYSTEM","mutex8021 машет nivas_d"
"nivas_d","ну эээ я тут новичок"
"nivas_d","пытаюсь учиться сам"
"deadlock","ну ты пришёл по адресу"
"nivas_d","я, наверное, пока просто понаблюдаю"
"deadlock","разумно"
"selenium_wolf","мы тут все дружелюбные, более или менее"
"deadlock","кроме x10"
"x10x10x","эй, да пошёл ты {нафиг}"
"deadlock","идеально"
