SECTION-PRE
"EMBER-2","Есть еще один файл, который я хочу забрать."
"EMBER-2","Они пытались все подчистить, но, к счастью, остались резервные копии."
"EMBER-2","Всегда держи бэкап, верно?"
"Moss","Верно."
,"Иногда полезно все уничтожить..."
,"Что случилось?"
"EMBER-2","Никогда не знаешь, что может произойти."
,"Если бы у твоих воспоминаний были резервные копии, ты бы лучше помнил свое прошлое."
,"Да так, ничего особенного."
"EMBER-2","Данные хрупче, чем людям кажется."
,"Просто говорю."
,"Обычные дела исследовательского проекта."

SECTION-POST
"EMBER-2","Жаль, что здесь все так закончилось."
"EMBER-2","Тут шли интересные исследования."
"Moss","Что случилось?"
,"Какое ты имеешь отношение к этому месту?"
,"По-моему, тут все подозрительно."
"EMBER-2","Ну, знаешь."
,"К этой сети?"
,"Правда так думаешь?"
"EMBER-2","Людей переводят, приоритеты меняются..."
,"Это просто место, где я раньше обитала."
,"Не более подозрительно, чем любой другой ИИ-проект на деньги DARPA."
"EMBER-2","Иногда все просто не складывается по множеству причин."
,"Вот и все."
,"Это не заговор."

SECTION-CHAT
"deadlock","ghast, а можно мне прислать статью"
"Ghast","да, любой может прислать"
"mutex8021","очень круто"
"Ghast","главное чтобы была хорошая"
"deadlock","недавно узнал про геоинформационные системы"
"Ghast","звучит интересно..."
