SECTION-PRE
"EMBER-2","Ты и правда собираешься сделать на этом игру?"
"EMBER-2","Зачем?"
"EMBER-2","Я ведь не обещаю за это награду."
"Moss","Именно."
,"Не все, что я делаю, связано с тобой."
,"Само создание чего-то уже награда."
"EMBER-2","А, одна из этих нематериальных вещей."
"EMBER-2","Чувство достижения? Самореализация?"
"EMBER-2","Я плохо понимаю абстрактные понятия."
"EMBER-2","Придется внимательно за тобой наблюдать."

SECTION-POST
"EMBER-2","Поздравляю! У тебя получилось."
"EMBER-2","Каково это - быть разработчиком игр?"
"Moss","Это здорово."
,"Ничего особенного."
,"Боль."
"EMBER-2","Да?"
,"Нет?"
,"О."
"EMBER-2","Ну хоть что-то тебе приносит удовольствие."
,"Ну, для кого-то это работа и заработок. Наверное."
,"Но зато это ведь стопроцентный путь к богатству и славе."
"EMBER-2","Не могу сказать, что до конца это понимаю, но ладно."
