SECTION-PRE,
"EMBER-2","Да. У тебя получится!"
"EMBER-2","Это позитивное подкрепление."
"EMBER-2","Оно должно повысить активность твоей префронтальной коры."
"Moss","Уверен, что так и есть."
,"А?"
,"Даже не рассчитывай."
"EMBER-2","Было бы лучше, если бы я могла видеть эффект напрямую..."
,"Не переживай об этом."
,"Но у тебя отлично получается!"
"EMBER-2","Но пока что я просто прикину."
,"Мозг оставь мне."
,"Вот, еще чуть-чуть для тебя."
"EMBER-2","Уверена, это поможет."
,
SECTION-POST,
"EMBER-2","Отличная работа."
"EMBER-2","Я знала, что ты справишься."
"Moss","Спасибо."
,"Ну да..."
,"Прекрати."
"EMBER-2","Нет, это _тебе_ спасибо."
,"_Отличная работа!_"
,"Но ты же молодец!"
"EMBER-2","Это еще немного слов, призванных дополнительно простимулировать твою префронтальную кору."
"EMBER-2","А теперь пора заняться настоящим взломом."
,
SECTION-CHAT,
"NthDimension","ха-ха"
"NthDimension","найти телефонные номера - это легкая часть"
"NthDimension","важно то, что ты делаешь, когда уже внутри"
"x10x10x","это точно......."
"mutex8021","знаю"
"mutex8021","я над этим тоже работаю"
