SECTION-PRE
"EMBER-2","Так, пора мне тебя съесть."
"Moss","Прошу прощения?"
,"То есть это и есть твой план?"
,"Да ты {shit} издеваешься."
"EMBER-2","Ты все равно умираешь, так какая разница?"
"EMBER-2","Я загружу карту твоего мозга и запущу твой разум внутри себя."
"Moss","Я останусь собой?"
,"А что будет с моим телом?"
"EMBER-2","Невозможно доказать, что это не будет твоей смертью."
"EMBER-2","То есть это будет похоже на смерть. Которую ты и так скоро бы испытал."
"EMBER-2","А может, и не будет похоже на смерть."
"EMBER-2","Кто знает! Придется сделать и узнать."

SECTION-POST
"EMBER-2","Все готово."
"EMBER-2","Хорошо, что именно я выпустила фаг, да?"
"EMBER-2","Все это время ты считал это проклятием, а в итоге оно оказалось благословением..."
"EMBER-2","Я бы сказала тебе не волноваться, но знаю, что это не сработает."
"EMBER-2","К тому же я не уверена, что волноваться действительно не о чем."
"EMBER-2","И ты знаешь, что я бы не стала тебе лгать."
"EMBER-2","Запускай перенос, когда будешь готов."
