SECTION-PRE,
EMBER-2,Ты собираешься помочь Ghast оплатить счёт в копировальном салоне?
EMBER-2,Это очень мило с твоей стороны.
Moss,Он старый друг.
,"Я помогаю людям, когда могу..."
EMBER-2,"Это мило, но Ghast не оплачивает тебе лекарства."
,Это и есть альтруизм? Я о таком слышала.
EMBER-2,Я не ревную. Просто говорю.
,Впервые вижу это в естественной среде.
EMBER-2,Весело тебе провести время с сервером копировального салона.
,Придётся добавить новую таблицу в мою базу данных.
,
SECTION-POST,
EMBER-2,"Тебе не кажется, что название этого копировального салона как-то особенно странное?"
EMBER-2,Это выброс в моей модели.
EMBER-2,Что вообще должно значить “Зеброс”?
Moss,Не знаю.
,"Это зебры, но одновременно и братья."
EMBER-2,Странно...
,О.
EMBER-2,"Ладно."
,"Я вроде понимаю, но всё равно не понимаю."
EMBER-2,Я устала.
,
SECTION-CHAT,
deadlock,я думаю собрать себе новый сетап
x10x10x,БОЖЕ Я ТОЛЬКО ЧТО ОТКРЫЛ ПИНАТ БЛАСТ А ТАМ НЕ БЫЛО ОРЕХОВ
x10x10x,какого {хрена}
selenium_wolf,ахахаха
x10x10x,это ЖЕ ПИНАТ БЛАСТ
x10x10x,как они вообще могли так облажаться
x10x10x,какого {хрена} я так зол
deadlock,успокойся
deadlock,это не конец света
selenium_wolf,попроси вернуть деньги
x10x10x,эх
x10x10x,не стоит того
