SECTION-PRE
"EMBER-2","Так, всё, хватит искать короткие пути."
"EMBER-2","Пора перейти к грубой силе в решении денежной проблемы."
"EMBER-2","Я знаю, тебе нравится возиться с банковскими системами..."
"Moss","Ага."
,"Идея взломать те банкоматы была твоей."
,"Для меня всё это одно и то же..."
"EMBER-2","Ну вот, у тебя снова будет такая возможность!"
"EMBER-2","Только на этот раз всё немного срочнее."

SECTION-POST
"EMBER-2","Обманывать банк..."
"EMBER-2","Это же преступление прямо по учебнику, да?"
"EMBER-2","Не волнуйся, твоя тайна со мной в безопасности."
"Moss","Я не волнуюсь."
,"Спасибо."
,"Погоди, ты ведь тоже в этом замешана."
"EMBER-2","Вот и хорошо."
,"Пожалуйста."
,"Может и так, но меня ведь не могут арестовать, да?"
"EMBER-2","Сейчас не время для сомнений."
,"Я умею хранить секреты."
,"Физическое тело - вот твоя уязвимость."
