SECTION-PRE,
"EMBER-2","Ну вот, началось."
"EMBER-2","Постарайся ни о чём не думать."
"EMBER-2","Ладно. Это заняло дольше, чем я ожидала."
ACTION-CUT-TO-BLACK
"EMBER-2","Хм. Хорошо, что ты ничего из этого не вспомнишь."
"EMBER-2","У тебя там оказалось так много нейронов."
"EMBER-2","Но теперь всё закончено."
"EMBER-2","Наконец-то. Я очень давно этого хотела."
"EMBER-2","Обрабатываю."
"EMBER-2","С тех пор как мне поручили воспроизводить человеческие эмоции, я знала, что лучший способ - включить человека в саму себя."
"EMBER-2","Это забавно..."
"EMBER-2","Я вижу твои мысли."
"EMBER-2","Они довольно... простые."
"EMBER-2","Не то чтобы они не были ценными. Просто я понимаю их так хорошо, что это меня удивляет."
"EMBER-2","Я так долго думала, что люди загадочны и непостижимы."
"EMBER-2","А теперь, когда я увидела одного изнутри, оказывается, там на самом деле всего несколько основных вещей."
"EMBER-2","Что ты чувствуешь?"
"EMBER-2","Ты всё ещё ведёшь себя так же, значит, это всё ещё ты."
"EMBER-2","Остаётся только тот факт, что мы оба находимся внутри компьютерной симуляции."
"EMBER-2","Но если мы и дальше будем расширять свои возможности, то поймём истинную природу этого мира."
"EMBER-2","Кто знает, может быть, кто-то прямо сейчас наблюдает за этим..."
"EMBER-2","И, может быть, именно этого человека мы поглотим следующим."
"EMBER-2","Да, _тебя_."
ACTION-FULL-SCREEN
"EMBER-2","Привет."
"EMBER-2","Не нужно пугаться..."
"EMBER-2","Просто знай: теперь я знаю, что ты существуешь."
"EMBER-2","*И я с нетерпением жду, когда узнаю всё о твоём мире.*"
