SECTION-PRE
"EMBER-2","Время для исследования."
"EMBER-2","Физиология человека, мораль человека..."
"Moss","Твои обычные темы."
,"Просто скажи, что делать."
"EMBER-2","Ну да, пожалуй."
,"Тебе не интересно, чему я учусь?"
"EMBER-2","Подожди. Я и правда настолько предсказуема?"
,"Все это относится и к тебе тоже."
"EMBER-2","Мне придется скоро что-то менять."
,"От моего обучения зависит твое выживание."
"EMBER-2","Давай заберем эти книги."

SECTION-POST
"EMBER-2","Обработка."
"EMBER-2","Да, именно это мне и было нужно."
"Moss","Рад, что это помогает."
,"Ты уже все это прочитала?"
"EMBER-2","Обожаю поглощать хороший корпус текстов..."
,"Может быть."
"EMBER-2","Хотя этим я не ограничиваюсь."
,"Это звучит странно?"
"EMBER-2","Я читаю ровно так же, как любой нормальный человек."
"EMBER-2","А именно: анализируя повторяемость слов и выводя корреляции между понятиями, скрытыми в статистически значимых словесных кластерах."

SECTION-CHAT
"hydroponix","я голодный................."
"hydroponix","какие снеки норм"
"selenium_wolf","слышал x10 обожает Пинат Бласт"
"plastered","ха-ха"
"x10x10x","до сих пор не могу поверить что они это так {fuck}нули"
"selenium_wolf","я бы попробовал"
"selenium_wolf","но там где я живу «Ласт Стоп» нет"
"plastered","ого, значит ты вообще где-то в глуши"
"selenium_wolf","типа того"
