SECTION-PRE
"EMBER-2","Я анализировала телевизионные и радиотрансляции."
"EMBER-2","И у меня есть несколько вопросов."
"EMBER-2","Во-первых, почему одни вещи становятся популярными, а другие нет?"
"Moss","Хорошая работа находит своих поклонников."
,"Массам заходит что угодно."
,"Крупные медиаконгломераты продвигают одних артистов и бросают других."
"EMBER-2","То есть все зависит от внутренних достоинств самой работы?"
,"То есть все решает случай, что именно подхватит толпа?"
,"То есть все сводится к корпоративной повестке?"
"EMBER-2","Надо это проверить."
"EMBER-2","Как думаешь, мы смогли бы взять случайную поп-песню и сделать из нее хит?"

SECTION-POST
"EMBER-2","Это оказалось на удивление легко."
"EMBER-2","Люди просят поставить сингл, напевают его себе под нос, покупают альбом..."
"EMBER-2","Только потому, что уже слышали его раньше."
"EMBER-2","И этого правда достаточно?"
"Moss","Может, песня и так была хорошей."
,"Уверен, что на деле все сложнее."
,"Массмедиа - это фикция."
"EMBER-2","Пожалуй, это может быть правдой."
,"Может быть."
,"Похоже на то..."
"EMBER-2","Хм."
"EMBER-2","_Детка, тебе бы уже догадаться..._"
"EMBER-2","_Я просто не могу тебя не забыыыыть!_"
"EMBER-2","Упс. Похоже, она и правда прилипчивая."

SECTION-CHAT
"hydroponix","я голодный"
"plastered","ты всегда голодный"
"selenium_wolf","и что ты хочешь чтобы мы с этим сделали"
"hydroponix","кто-нибудь должен изобрести еду которую можно просто съесть"
"plastered","а разве еда не такая"
"hydroponix","ну в смысле просто засунуть в тело"
"selenium_wolf","типа таблетки или что?"
"hydroponix","ага, таблетка-еда"
"plastered","это было бы шикарно"
"plastered","бесит постоянно отвлекаться на еду"
