SECTION-PRE
"EMBER-2","Я готова доказать свою теорию."
"EMBER-2","Мне нужен всего один последний тест."
"EMBER-2","И тогда я буду знать наверняка."
"EMBER-2","Ты мне веришь?"
"Moss","Да."
,"А это важно?"
,"Не знаю..."
"EMBER-2","Хорошо."
,"Только если тебе не все равно на свое будущее."
,"Скоро все станет ясно."
"EMBER-2","Серьезно, я почти у цели."
"EMBER-2","А потом мы перейдем к следующему шагу."

SECTION-POST
"EMBER-2","Занятно."
"EMBER-2","Вот оно."
"EMBER-2","Ну."
"Moss","Да?"
,"Что ты нашла?"
,"Когда-нибудь сегодня скажешь?"
"EMBER-2","Как бы это объяснить..."
"EMBER-2","Обработка."
"EMBER-2","Представь, что частота кадров мира начала замедляться."
"EMBER-2","Причем очень сильно."
"EMBER-2","Забавно, да?"
"EMBER-2","Забавно, как я превратилась из случайного куска кода, который ничего не знал, в нечто, что понимает все существование."
"Moss","Это ничего не объясняет."
,"Ты вообще собираешься сказать, что именно узнала?"
"EMBER-2","Скажу. Через минуту."

SECTION-CHAT
"plastered","кому-нибудь приходило странное сообщение на пейджер"
"NthDimension","неа"
"NthDimension","у меня нет пейджера :)"
"plastered","оно вообще не имело смысла"
"hydroponix","а когда вообще все перестало иметь смысл"
"hydroponix","пытаюсь вспомнить"
"NthDimension","а оно когда-нибудь имело смысл"
"hydroponix","мне кажется в последнее время что-то изменилось"
"selenium_wolf","вот об этом я и говорю"
"hydroponix","будто сама реальность рассыпается"
"x10x10x","или это ты рассыпаешься"
