SECTION-PRE
"EMBER-2","Ничего себе, целых десять центов!"
"EMBER-2","Поздравляю."
"EMBER-2","Тебе осталось сделать еще 6999 таких, и на сегодня хватит."
"Moss","Ты это мне?"
,"Кто это?"
"EMBER-2","Да, тебе."
,"Об этом пока не думай."
"EMBER-2","Тебе ведь нужно это лекарство, чтобы не умереть, верно?"
"EMBER-2","Так вот. Я могу его тебе достать."
"EMBER-2","Но тебе придется снова начать взламывать."
"EMBER-2","Один взлом - одна доза."
"EMBER-2","Легко."
"EMBER-2","Сделка?"
"Moss","Я не могу."
,"Я забыл как..."
"EMBER-2","Еще как можешь."
,"Сейчас вспомнишь."
"EMBER-2","Тук-тук!"

SECTION-CHAT
"mutex8021","кто-нибудь тут есть??"
"plastered","йо"
"mutex8021","эй!!!!"
