SECTION-PRE
"Isadora","Привет. Я ведь не помешала?"
"Moss","Isadora выглядит расстроенной."
"Moss","Что-то случилось?"
"Isadora","Помнишь, я раньше работала в «Ласт Стоп»? Начала кассиршей, потом поднялась выше?"
"Isadora","Я всегда знала, что у них там тесный коллектив."
"Isadora","Но оказалось, все гораздо хуже."
"Isadora","Это настоящий культ."
"Isadora","И я не про то, что они просто верят в компанию. Они верят, что весь мир ненастоящий!"
"Isadora","Они говорят, будто мы все заперты в какой-то фальшивой реальности? Не знаю."
"Moss","Фальшивая реальность?"
"Moss","Странно знакомо звучит..."
"Moss","Мне уже кто-то такое говорил?"
"Isadora","Мне было бы все равно, если бы дело ограничивалось только этим."
"Isadora","Но настоящая проблема в том, что они думают, будто смогут выбраться силой, если устроят достаточно большой взрыв."
"Isadora","Так что они перерабатывают материалы для бомбы... ядерной бомбы."
"Isadora","Прямо рядом с грудами старых снеков..."
"Moss","Подожди, что?"
"Moss","Она это серьезно?"
"Moss","Что вообще происходит в этом мире?"
"Isadora","У меня есть номер склада, где все это устроено."
"Isadora","Если я дам его тебе, ты же сможешь что-то сделать, да?"
"Isadora","Мне нужно отдохнуть... я пойду прилягу..."
"Moss","Столько вопросов."
ACTION-CLOSE-DOOR
"Moss","«Ласт Стоп»... культ? И она в самом центре всего этого...?"
"Moss","Мне нужно просто разбираться с этим по одному шагу за раз."
"Moss","Я сойду с ума, если попытаюсь понять все сразу."

SECTION-CHAT
"NthDimension","короче маме купили один из этих датафонов"
"NthDimension","и он сразу начал тормозить и глючить"
"deadlock","ха, ну конечно"
"NthDimension","я полез посмотреть"
"NthDimension","оказалось, там крутилась куча каких-то странных exa"
"NthDimension","ну я их снес своими exa"
"NthDimension","теперь мама считает меня крутым, потому что я починил ее дурацкий датафон??"
"selenium_wolf","ну это вообще-то мило с твоей стороны."
"NthDimension","наверное"
