SECTION-PRE,
"Moss","Кто-то у двери."
ACTION-CLOSE-DOOR
"Moss","Не помню... я сам просил их подняться?"
"Moss","В голове все как в тумане..."
"Moss","С каждым днем все большая часть моего тела превращается в хлам..."
"Nivas","Привет."
"Nivas","Эй, ты меня слышишь?"
"Nivas","Слышал, ты ищешь лекарство от фага?"
"Nivas","Похоже, оно тебе и правда нужно."
ACTION-OPEN-DOOR
"Moss","Точно... Nivas."
"Moss","Говорили, они могут достать что угодно."
"Moss","Даже паленое лекарство."
"Nivas","Да, у меня есть источник. Я знаю, где это достать."
"Nivas","Это дешевле оригинала, но все равно влетит в копеечку..."
"Moss","Nivas делает паузу и смотрит мне прямо в глаза."
"Nivas","Сейчас цена такая: 700 за дозу. Тебе нужна одна доза в день."
"Nivas","Да, именно долларов."
"Nivas","Извини, цены не я устанавливаю. Я просто курьер."
"Nivas","И не то чтобы эти деньги шли мне..."
"Nivas","В любом случае, если раздобудешь деньги, звони."

SECTION-CHAT
"mutex8021","привет"
"mutex8021","тут как-то мертво..."
"mutex8021","zzzz..."
