SECTION-PRE
"EMBER-2","Тебе стоит радоваться, что я начала разбираться в спорте."
"EMBER-2","Помнишь, я говорила, что найду решение денежной проблемы?"
"EMBER-2","Я разработала новую рейтинговую систему для игроков в экстремальный бейсбол."
"EMBER-2","Она основана на многовекторном анализе всей статистики, какую мне удалось найти."
"EMBER-2","Иными словами, у меня есть способ почти безошибочно предсказывать победителей."
"EMBER-2","Пара ставок тут и там - и я разбогатею."

SECTION-POST
"EMBER-2","Так, эм. Хм."
"EMBER-2","Обрабатываю."
"EMBER-2","Оказалось, что ставки на спорт - это, вообще-то, не лучший способ заработать."
"EMBER-2","Мог бы и предупредить."
"Moss","Я думал, ты окажешься умнее."
,"Лучше уж ты сама до этого дойдёшь..."
"EMBER-2","Что это вообще значит?"
"EMBER-2","Не перекладывай это на меня."
"EMBER-2","Всё это происходит только потому, что я пытаюсь тебе помочь."
"EMBER-2","Давай продолжим."

SECTION-CHAT
"plastered","блин... вордайлинг - та ещё тягомотина"
"plastered","но я нашёл кое-что странное"
"hydroponix","какие-нибудь правительственные серверы?"
"plastered","я нашёл энергетическую компанию"
"plastered","и что-то связанное с обработкой страховых выплат"
"deadlock","пока что неплохие попадания"
"hydroponix","рано или поздно наткнёшься на базу ДНК"
"hydroponix","которую ведёт FEMA"
"plastered","ага, эм, я дам знать, когда до неё доберусь"
