SECTION-PRE
"EMBER-2","Ну надо же, как это лестно."
"EMBER-2","Кто-то нашёл кучу моих сетевых узлов и прислал наводку Ghast!"
"EMBER-2","Жаль только, что мне нельзя, чтобы люди знали обо мне."
"EMBER-2","Тебе придётся вырезать меня из этого сообщения."
"Moss","И откуда ты это узнала?"
,"Ты шпионишь за Ghast?"
"EMBER-2","Я живу в компьютерных сетях."
"EMBER-2","Иногда я вижу, что в них проходит."
"EMBER-2","И всё."

SECTION-POST
"EMBER-2","Ты ведь не смотрел другие файлы, пока был там, правда?"
"Moss","Нет, не смотрел."
,"Может, и посмотрел..."
"EMBER-2","Нет?"
,"Упс!"
"EMBER-2","Возможно, твоё чувство этики оказалось сильнее любопытства."
,"Может, не стоит говорить ему, что ты случайно увидел кое-какие его личные файлы."
"EMBER-2","Занятно."
,"Незачем его расстраивать."
"EMBER-2","Интересно, каково это..."
,"Ему и так нужно сосредоточиться на следующем выпуске зина."

SECTION-CHAT
"selenium_wolf","вы видели, как они сваливают на хакера тот случай с банкоматами, которые недавно взбесились?"
"selenium_wolf","“Неизвестный хакер проник в наши системы и заставил несколько банкоматов выдавать деньги произвольным образом”, - заявила в комментарии для «Таймс» представитель «Эквити Ферст» Франсес Бок."
"deadlock","“неизвестный хакер”"
"deadlock","ха-ха"
"x10x10x","почему у них всегда во всём виноваты хакеры"
"x10x10x","скорее всего, это просто их {дерьмовый} софт"
"x10x10x","банки ужасно пишут код"
"deadlock","банки вообще сами по себе отстой"
"x10x10x","это да"
