SECTION-PRE
"EMBER-2","То есть ты собираешься взломать собственное сердце."
"Moss","Выбора нет..."
,"Все будет нормально. Наверное."
,"Мне немного страшно."
"EMBER-2","Выбора нет?"
,"Вот и хорошо."
,"Почему?"
"EMBER-2","Что будет, если твое сердце перестанет биться?"
"EMBER-2","Не говори... Ты умрешь?"
"EMBER-2","Обработка."
"EMBER-2","Хм. Пожалуй, это кое-что объясняет."
"EMBER-2","По крайней мере, тебе всего лишь нужно заставить его биться."
"Moss","Ну, более или менее."
,"На самом деле все чуть сложнее."
"EMBER-2","Физиология человека восхитительна."
"EMBER-2","Мне стоит узнать о ней больше."

SECTION-POST
"EMBER-2","Тебе когда-нибудь хотелось стать компьютером?"
"EMBER-2","Нормально работающим компьютером, я имею в виду."
"Moss","Иногда."
,"Не-а..."
"EMBER-2","Звучит неплохо, да?"
,"Меня и так устраивает."
"EMBER-2","Одна логика, никаких эмоций."
,"Я и сам никогда не мечтал о человеческом теле."
"EMBER-2","Если только тебя не запрограммируют на эмоции."
,"Но за ними интересно наблюдать."
"EMBER-2","Тогда ты попал."
,"Странные у них, конечно, проектные решения."

SECTION-CHAT
"mutex8021","так никто не хочет зайти ко мне в Кингс Рэнсом Онлайн?"
"x10x10x","у меня нет времени на игры"
"x10x10x","это отвлекает"
"hydroponix","от чего"
"x10x10x","от того чтобы быть лучшим хакером"
"plastered","!!!!!!!"
"hydroponix","ничего себе"
"plastered","я так давно не ржал"
"x10x10x","что я лучше тебя"
"hydroponix","вот это заявочка"
"hydroponix","пора выяснить"
