SECTION-PRE
"EMBER-2","Ах, эта старая игра."
"EMBER-2","Все именно так, как я ее помню..."
"EMBER-2","Полигон для поведения, направленного к цели и управляемого эмоциональным мышлением."
"EMBER-2","Ты любишь играть?"
"Moss","Да, люблю."
,"Иногда."
,"Не особо."
"EMBER-2","Я тоже."
,"Разборчивый, да?"
,"Для исследований они очень полезны."
"EMBER-2","Это как маленькие размытые механизмы, устремленные к цели."
,"Ну, эта просто веселая."
,"В них всегда полно данных для анализа."

SECTION-POST
"EMBER-2","Если тебе вдруг понадобится передышка от взлома, это хороший вариант."
"EMBER-2","Она требует немного активности и не так выматывает, как собирать EXA."
"EMBER-2","Видишь, как я забочусь о твоих потребностях."
"Moss","Спасибо."
,"Правда что ли?"
,"Только потому, что я нужен тебе для работы..."
"EMBER-2","Пожалуйста."
,"Конечно."
,"Это вполне уважительная причина, разве нет?"
"EMBER-2","Если будешь меня ценить, всем станет проще."
,"Без вопросов."
,"Предпочитаешь, чтобы я притворилась в тебя влюбленной?"
"EMBER-2","Продолжаем."
