SECTION-PRE
"EMBER-2","Может ли дружба существовать без личной выгоды?"
"Moss","А почему нет?"
,"Наверное, не может."
,"Ты часто говоришь о дружбе."
"EMBER-2","В этом не было бы смысла, если бы обе стороны ничего не получали."
,"Да, я тоже так думаю."
,"Похоже, это полезное понятие, в котором стоит разобраться."
"EMBER-2","Но, может быть, я пойму это лучше, если увижу все в естественной среде."
,"В этом не было бы смысла, если бы обе стороны ничего не получали."
,"Никакой другой причины нет."
"EMBER-2","В любом случае, мне нужно, чтобы ты нашел здесь один конкретный файл."
"EMBER-2","Не отвлекайся на все остальное, что может попасться."
"EMBER-2","Все это уже устарело."

SECTION-POST
"EMBER-2","Ты бы сказал, что у тебя были друзья?"
"Moss","Конечно."
,"Вообще-то, наверное, нет."
,"А мы друзья?"
"EMBER-2","Да? Например Ghast? EXAPUNKS?"
,"Да, ты выглядишь довольно одиноким."
,"Что, вроде нас с тобой?"
"EMBER-2","Но ты им ничего не говоришь."
,"Может, тебе стоит попытаться познакомиться с новыми людьми."
,"Ты забыл, что я заставляю тебя взламывать системы ради доз лекарства, которое спасает тебе жизнь?"
"EMBER-2","Разве друзья не общаются друг с другом?"
,"Например, можно дать объявление о знакомстве."
,"И ты бы назвал это дружбой?"
"EMBER-2","Как бы то ни было, для меня это хорошие данные."

SECTION-CHAT
"mutex8021","я исследовал телефонную систему в своем районе"
"mutex8021","и нашел кое-какие аномалии"
"mutex8021","там есть один номер, который при звонке просто пищит"
"plastered","много номеров так делают"
"mutex8021","но этот писк какой-то очень странный"
"hydroponix","оооооо"
"hydroponix","может это какой-нибудь правительственный писк"
"plastered","ну конечно"
"plastered","правительственный писк"
"hydroponix","ну ты понял о чем я"
