SECTION-PRE
"EMBER-2","Игры для WonderDisc ограничены региональными блокировками."
"EMBER-2","Почему?"
"Moss","Наверное, из-за бизнеса."
,"Не знаю."
,"Крупные корпорации всегда хотят всё контролировать..."
"EMBER-2","Искусственный дефицит?"
,"Наверняка на то есть причина."
,"О, так вот зачем ты ломаешь этот региональный замок?"
"EMBER-2","Нельзя же позволять игрокам слишком легко ввозить игры из других регионов."
,"Возможно, это сделано ради безопасности."
,"Чтобы продемонстрировать принцип свободы модификации."
"EMBER-2","Чем меньше усилий требуется, тем менее особенным это кажется."
,"Если бы игра была заразным агентом, можно было бы ограничить вспышку одной территорией."
,"Ты уверена, что дело не просто в том, что тебе хочется поиграть?"
"EMBER-2","Хм."

SECTION-POST
"EMBER-2","Столько работы ради одной игры."
"EMBER-2","Как думаешь, оно того стоило?"
"Moss","Определённо."
,"Посмотрим..."
,"Сам взлом уже награда."
"EMBER-2","Все знают, что самые лучшие игры - это малоизвестные импортные."
,"Это захватывает."
,"Ну да. Особенно когда в итоге получаешь что-то осязаемое."
"EMBER-2","Пора играть!"

SECTION-CHAT
"plastered","наконец-то подключил третью телефонную линию"
"plastered","теперь буду вордайлить втрое быстрее"
"NthDimension","вау, чувак"
"NthDimension","вот это преданность делу"
"NthDimension","тебя не смущает, что это выглядит подозрительно"
"plastered","я сказал им, что это для бизнеса"
"plastered","им всё равно, если я говорю, что я телемаркетолог"
"deadlock","ха-ха, ничего себе"
"deadlock","то есть обзванивать тысячи номеров, чтобы впаривать {фигню}, нормально"
"deadlock","а обзванивать, чтобы исследовать систему, нельзя"
"plastered","ага"
"plastered","вот так всё и работает"
