SECTION-PRE
"EMBER-2","Насколько сильно деньги влияют на поведение?"
"EMBER-2","Сильно, да?"
"Moss","Да, очень сильно."
,"На некоторые поступки деньги не влияют..."
"EMBER-2","Я собираюсь провести эксперимент по перераспределению богатства."
"EMBER-2","Внезапному, случайному перераспределению богатства."
"EMBER-2","Должно быть весело."

SECTION-POST
"EMBER-2","Ну, это вызвало небольшой хаос..."
"EMBER-2","Но не такой сильный, как я надеялась."
"EMBER-2","Интересно, почему."
"Moss","Это всё-таки не было чем-то по-настоящему разрушительным."
,"Люди умеют игнорировать проблемы."
"EMBER-2","Хм."
"EMBER-2","В следующий раз придётся замахнуться на что-то посерьёзнее."

SECTION-CHAT
"mutex8021","вопрос для ghast: тебе много статей присылают"
"Ghast","ага, много"
"Ghast","сейчас столько всего, о чём можно писать"
"Ghast","компьютеры теперь везде"
"Ghast","а люди даже не понимают, насколько многое на них держится"
"hydroponix","ага, чувак"
"hydroponix","всегда кайфую, когда вскрывается заговор правительства"
"hydroponix","слежка и контроль наших мыслей!!"
"x10x10x","полегче"
"mutex8021","ха-ха"
