SECTION-PRE,
EMBER-2,"Ну, это уже кое-что."
EMBER-2,"Я вижу открытую сеть, которая... я даже не могу понять, насколько она огромна."
EMBER-2,"Представь, что все компьютеры в мире подключены друг к другу, и ты начнёшь понимать масштаб."
EMBER-2,"Но пока мы не начнём исследовать, не узнать, насколько она велика на самом деле."
Moss,Таков план?
,Ой-ой.
EMBER-2,Более или менее.
,Ой-ой?
EMBER-2,"Почему, думаешь, это может быть опасно?"
Moss,"Мы понятия не имеем, что там снаружи..."
,"Опасно, возможно, для _них_."
EMBER-2,Есть только один способ узнать.
,Вот это настрой.
,
SECTION-POST,
EMBER-2,Интересное место. Что такое ""варез""?
Moss,Не уверен.
,А как тебе кажется?
,Это значит нелегальные загрузки программ.
EMBER-2,"Как бы там ни было, этого хочет очень много людей."
,"Похоже на что-то, чего жаждет куча народу."
,"А, теперь понятно, почему это так популярно."
EMBER-2,Отсюда нам будет легко распространяться.
EMBER-2,"Я до сих пор не вижу пределов этого так называемого Интернета... но если они и правда соединили все свои компьютеры друг с другом так, как это выглядит, нас ждёт очень весёлое время."
EMBER-2,"Посмотрим, как далеко мы сможем зайти."
