SECTION-PRE,
"EMBER-2","Ты ведь любишь снеки?"
"EMBER-2","Можешь не отвечать."
"EMBER-2","Я знаю, что любишь снеки."
"EMBER-2","Поэтому мы собираемся взломать фабрику снеков."
"Moss","Ладно."
,"Эм. Зачем?"
,"Это глупо."
"EMBER-2","Это эксперимент."
"EMBER-2","Гипотеза: будет очень смешно."
,
SECTION-POST,
"EMBER-2","Ладно, я не знаю, что об этом думать."
"EMBER-2","Обработка."
"EMBER-2","В «Пинат Бласт» нет арахиса. Это было смешно?"
"Moss","Уморительно."
,"Ну... вроде?"
,"Нет, я не понял шутку."
"EMBER-2","Да. Обманутые ожидания."
,"По шкале от 1 до 10 насколько это смешно?"
,"Надо представить, что кому-то очень хочется арахиса, а он его не получает."
"EMBER-2","Поведение людей предсказуемо в массе."
,"Хотя забудь, я не знаю, как работать со шкалой Лайкерта."
,"Или это уже просто пытка?"
"EMBER-2","Больше данных для корпуса."
"EMBER-2","Продолжаем."
,
SECTION-CHAT,
"selenium_wolf","ghast, так когда выйдет следующий номер зина"
"Ghast","хороший вопрос..."
"Ghast","копицентр сейчас мной не очень доволен."
"Ghast","им почему-то не понравился мой аргумент, что я не должен платить."
"mutex8021","ха-ха, ты правда пытался это доказать"
"Ghast","нет, но деньги я им правда должен."
"mutex8021",":("
