SECTION-PRE
"EMBER-2","Это что-то вроде ограбления, да?"
"Moss","Да, это ограбление."
,"Не настолько уж масштабное."
"EMBER-2","Я не представляла себе настолько крупную операцию."
,"По-моему, она именно что крупная."
"EMBER-2","Если не считать тебя, тут работают три отдельные группы."
"EMBER-2","У того, кто это собрал, очень серьезные ресурсы."
"EMBER-2","Наверное, поэтому это так дорого."
"EMBER-2","Не переживай, деньгами я занимаюсь."
"EMBER-2","Ты просто делай свое дело."

SECTION-POST
"EMBER-2","Похоже, ограбление прошло безупречно."
"EMBER-2","Поздравляю, теперь преступный картель продаст тебе лекарство, которое ты помог украсть, почти по рыночной цене."
"EMBER-2","Ну ладно. Зато они хотя бы дадут тебе его купить."
"EMBER-2","Раз уж с этим покончено, у меня вопрос."
"EMBER-2","Кража морально допустима в таких обстоятельствах?"
"Moss","Да, я почти умирал."
,"Нет."
,"Все сложно..."
"EMBER-2","Верно, на кону была твоя жизнь..."
,"Но тебе пришлось это сделать, чтобы выжить."
,"По-моему, не так уж это и сложно..."
"EMBER-2","Может, это и делает ее правильной."
,"Может, в таком мире никто не может остаться нравственно безупречным."
,"Но, с другой стороны, я выросла."
"EMBER-2","Обработка."
"EMBER-2","Продолжаем."

SECTION-CHAT
"SYSTEM","selenium_wolf зевает."
"mutex8021","устала?"
"selenium_wolf","ага, день был длинный."
"mutex8021","у меня тоже"
"mutex8021","знаю что не в тему но в жизни последнее время тяжеловато"
"mutex8021","ничего прям большого но типа"
"mutex8021","пытаюсь во всем разобраться"
"mutex8021","я справлюсь"
"mutex8021","не переживайте за меня"
"mutex8021","все ушли в простой :("
