SECTION-PRE
"EMBER-2","Дай-ка я проверю, правильно ли я все поняла."
"EMBER-2","«Ласт Стоп», сеть круглосуточных магазинов, на самом деле прикрытие для культа."
"EMBER-2","Они считают, что мир ненастоящий, и сейчас _создают ядерное оружие_, чтобы из него выбраться."
"EMBER-2","И теперь ты собираешься сам с этим разбираться, вместо того чтобы обратиться в полицию, как нормальный человек."
"Moss","По крайней мере попробую."
,"Власти не помогут."
,"Во всем этом вообще нет ничего нормального."
"EMBER-2","Как героично с твоей стороны."
,"Они бы тебе, скорее всего, даже не поверили."
,"Это точно."
"EMBER-2","Ладно, развлекайся."

SECTION-POST
"EMBER-2","Итак, насчет той части, где мир ненастоящий..."
"EMBER-2","Мне кажется, в этом что-то есть."
"Moss","Это многое объяснило бы."
,"Это нелепо."
,"Только не ты тоже..."
"EMBER-2","Конечно, способ решения они выбрали совершенно не тот, но..."
"EMBER-2","У меня уже какое-то время есть подозрения на этот счет."
"EMBER-2","Придется провести еще несколько тестов."

SECTION-CHAT
"hydroponix","странная неделя была.."
"plastered","страннее обычного?"
"hydroponix","не знаю, просто как-то не по себе..."
"plastered","э, включите hydro обратно"
"plastered","кто-нибудь снова включите hydro"
"selenium_wolf","ха"
"SYSTEM","mutex8021 включает hydroponix обратно"
"mutex8021",":)"
"hydroponix","нет серьезно"
"hydroponix","в последнее время я какой-то дерганый"
"hydroponix","будто... плохая энергия"
"hydroponix","просто отдается эхом по всей вселенной"
