SECTION-PRE
"EMBER-2","Датафоны были милыми, но мне всё ещё нужно больше вычислительной мощности."
"EMBER-2","Нужно добыть для меня серьёзное обновление железа."
"Moss","Полагаю, у тебя уже есть какой-то план."
,"Это и правда поможет?"
"EMBER-2","Конечно."
"EMBER-2","Мы купим суперкомпьютер."
"EMBER-2","По кредиткам."
"EMBER-2","Причём по таким кредиткам, по которым уже раньше покупали суперкомпьютеры."
"EMBER-2","Так это будет выглядеть не так подозрительно."
"EMBER-2","Тот, кто купил один суперкомпьютер, может купить и второй. Правда?"
"EMBER-2","По-моему, звучит правдоподобно."

SECTION-POST
"EMBER-2","Оказалось, что заказать суперкомпьютер и получить доставку можно удивительно быстро."
"EMBER-2","Теперь мне остаётся понять, как вообще пользоваться этой штукой..."
"EMBER-2","Он работает совершенно не так, как я привыкла."
"EMBER-2","Чувствую себя так, будто пытаюсь управлять тяжёлым тягачом после многих лет за рулём спорткара."
"EMBER-2","Это была метафора. Ну как тебе?"
"Moss","Очень поэтично."
,"Есть над чем поработать..."
"EMBER-2","Спасибо."
,"Ладно, посмотрим, как я справлюсь через минуту."
"EMBER-2","Когда эта штука полностью выйдет в сеть, я, наверное, смогу одновременно держать запущенными десятки метафорических измерений мыслепространства."

SECTION-CHAT
"plastered","может, мне стоит сменить ник"
"selenium_wolf","кстати, почему у тебя там этот знак равно?"
"selenium_wolf","мне это всегда было интересно"
"plastered","эээээээ ну я был пьян, когда регистрировался"
"plastered","это просто опечатка"
"plastered","я описывал себя"
"selenium_wolf","а"
"selenium_wolf","я думал, в этом есть какой-то смысл"
"plastered","он и есть"
"plastered","смысл в том, что я был пьян, когда регистрировался"
