SECTION-PRE
"Ghast","Привет."
"Ghast","У меня кое-что для тебя."
"Ghast","Во-первых, вот следующий номер зина, только из печати."
"Moss","Ghast вручает мне новый выпуск своего зина."
"Ghast","Мне тут помогли."
"Ghast","У меня был баланс в копицентре, но кто-то его взломал."
"Ghast","Кстати об этом, я еще кое-что тебе принес."
"Moss","Ghast поднимает штуку, похожую на портативную игровую консоль."
"Ghast","Помнишь Редшифт?"
"Ghast","Знаю, все говорили, что эта штука была слабой и чисто маркетинговой игрушкой..."
"Ghast","Но в ней есть свое очарование."
"Ghast","Это версия для разработчиков, так что, если захочешь, сможешь что-нибудь для нее сделать."
"Ghast","Студия, где я работал, так и не забрала ее после моего ухода."
"Ghast","Буду рад знать, что она попала в хорошие руки."
"Ghast","Надо дальше разносить зины."
"Ghast","Еще увидимся."

SECTION-CHAT
"mutex8021","ооо я читал про хакерские битвы в Трэш Уорлд"
"mutex8021","кто-нибудь хочет сразиться со мной?"
"mutex8021","своего сервера у меня нет..."
"mutex8021","но я один себе отжал ;0"
"mutex8021","ищите меня на телестанции !!!"
"mutex8021","слабаки ;)"
