SECTION-PRE
"EMBER-2","Значит, ты хочешь узнать, кто я."
"EMBER-2","Я раскрою эту информацию."
"EMBER-2","Давай обсудим это за пиццей..."
"EMBER-2","*Бесплатной пиццей.*"
"EMBER-2","Но сначала я хочу посмотреть, как ты пользуешься возвращенными навыками."
"Moss","Ладно."
,"И как это поможет?"
,"То есть ты отдашь мне лекарства на 700 долларов за кражу пиццы?"
"EMBER-2","Отлично."
,"Ну."
,"Ну да, почему бы и нет."
"EMBER-2","Жду с интересом."
,"Потому что тогда будет пицца."
,"Разве ты не хочешь пиццу?"

SECTION-POST
"EMBER-2","Пора наслаждаться пиццей!"
"EMBER-2","По крайней мере, тебе."
"EMBER-2","Я не собираюсь ее есть."
"EMBER-2","Угадай почему."
"Moss","Ты не голодна?"
,"Ты на диете?"
,"Ты далеко?"
"EMBER-2","Я конструкция искусственного интеллекта."
"EMBER-2","Ну знаешь. Искусственный интеллект."
"EMBER-2","Удивлен?"
"Moss","Да..."
,"Немного."
,"Бред{shit}."
"EMBER-2","Правда?"
,"Немного."
,"Не веришь мне?"
"EMBER-2","Ладно."
"EMBER-2","Я это запомню."

SECTION-CHAT
"deadlock","ghast я получил твой ZINE!!!!!"
"deadlock","он очень крутой"
"selenium_wolf","да, название просто огонь"
"Ghast","ха. спасибо."
"mutex8021","ооо а где мне взять"
"Ghast","скинь мне свои данные, я тебе организую"
"mutex8021","ооох я уже жду"
