SECTION-PRE
"EMBER-2","Сначала была рука... теперь кисть."
"Moss","Да, все становится хуже..."
,"Что? Я в порядке."
"EMBER-2","Я вижу."
,"Не пытайся делать вид, что все нормально."
"EMBER-2","К счастью, похоже, ты можешь без труда добраться до узлов, подключенных к срединному нерву."
"EMBER-2","Нужно всего лишь сделать небольшой надрез на внутренней стороне предплечья."
"EMBER-2","Только смотри не задень артерию."
"Moss","Ладно."
,"Раз ты так говоришь."
,"Фу."
"EMBER-2","Похоже, ты начинаешь к этому привыкать."
"EMBER-2","И это хорошо. Тут нечего брезговать."

SECTION-POST
"EMBER-2","У тебя бывает чувство, что это проигранная битва?"
"EMBER-2","Все эти бесконечные усилия по поддержанию твоего физического тела."
"Moss","Постоянно."
,"Я стараюсь жить настоящим."
,"В конце концов все проигрывают."
"EMBER-2","Жаль, что твои компьютерные детали такие бесполезные..."
,"Выбирать не думать о чем-то - неплохой метод."
,"Интересно, я так же устроена или нет."
"EMBER-2","Иначе ты мог бы стать как я."
,"Может, я и у себя смогла бы кое-что так оптимизировать."
,"Время покажет."

SECTION-CHAT
"selenium_wolf","fgfgkkgkfgkgfjfg"
"selenium_wolf","почему эта {fuck}ова песня \"не могу никак тебя забыть\" ВСЕГДА ИДЕТ ПО РАДИО"
"selenium_wolf","ОНА ТАКАЯ ПЛОХАЯ"
"selenium_wolf","ненавижу ее"
"hydroponix","музыкальная индустрия на 100% коррумпирована"
"hydroponix","лейблы подкупают радиостанции, чтобы те крутили нужные песни"
"hydroponix","это называется пэйола"
"deadlock","фу, какая же это {shit}"
"selenium_wolf","реально Трэш Уорлд"
"hydroponix","ТРЭШ УОРЛД"
