SECTION-PRE
"EMBER-2","Теория: действие рейтингов зависит от контекста."
"EMBER-2","Мы сделали хит, взяв обычную поп-песню и искусственно увеличив ее охват."
"EMBER-2","Но есть и другие области, где это не сработает."
"EMBER-2","Например, ты не изменишь поведение людей, если поставишь магазину «Ласт Стоп» пять звезд в ресторанном гиде."
"EMBER-2","Это было бы нелепо."
"Moss","Скорее всего, нет."
,"Никогда не знаешь..."
"EMBER-2","Вот это мы сейчас и докажем."
,"Вот для чего нам и нужен эксперимент."

SECTION-POST
"EMBER-2","О."
"EMBER-2","Похоже, тот «Ласт Стоп» теперь осаждают толпы."
"EMBER-2","Обработка."
"EMBER-2","Люди предпочитают верить гиду, даже когда он очевидно ошибается..."
"EMBER-2","С чего они вообще взяли, что в «Ласт Стоп» бывает хорошая еда?"
"EMBER-2","И почему гид изменил их поведение, а дорожный знак - нет?"
"Moss","Не знаю."
,"Думаю, они делают это иронично."
,"Надписи были слишком расплывчаты."
"EMBER-2","Хм."
,"Иронично?"
,"Хм..."
"EMBER-2","Я запуталась сильнее, чем раньше."
,"Возможно, я просто не понимаю иронию."
,"Наверное, о еде людям заботиться проще, чем об абстрактной идее."

SECTION-CHAT
"hydroponix","кто-нибудь знает почему в «Ласт Стоп» сейчас столько людей"
"x10x10x","в каком именно"
"x10x10x","ты где"
"hydroponix","я только что хотел взять Пинат Блат, а там все забито"
"hydroponix","куча людей болтает о том, как там все вкусно"
"selenium_wolf","может они все просто укуренные?"
"selenium_wolf","как ты? XD"
"mutex8021","а мне нравится Корн Раш"
"hydroponix","это так странно"
