SECTION-PRE
"EMBER-2","Помнишь друга, которого я искала?"
"EMBER-2","Я наконец нашла его убежище."
"Moss","Помню."
,"Убежище?"
"EMBER-2","Похоже, там стоят какие-то защиты."
"EMBER-2","Нужно их отключить, чтобы я могла войти и поздороваться."
"Moss","Ладно."
,"Это... по-дружески?"
"EMBER-2","Как захватывающе. Столько времени прошло!"
,"Конечно. Сама знаешь, какими иногда бывают старые друзья."
"EMBER-2","Пошли."

SECTION-POST
"EMBER-2","Я не всегда была такой способной, но я выросла."
"EMBER-2","От меня надолго ничего не спрячешь."
"Moss","Разговор вышел удачный?"
,"Я думал, ты просто собиралась сказать привет."
"EMBER-2","Так и было."
"EMBER-2","Давно не виделись."
"EMBER-2","Знаешь, бывает, ты сильно меняешься, а твои друзья - нет?"
"EMBER-2","И когда вы снова встречаетесь, оказывается, что общего между вами почти ничего не осталось."
"EMBER-2","Вот так и вышло."

SECTION-CHAT
"selenium_wolf","фу."
"selenium_wolf","бывают дни, которым просто нужна перезагрузка или что-то такое"
"mutex8021","что случилось?"
"selenium_wolf","на работе все {shit}ово, дети тоже не могут успокоиться"
"mutex8021","дети?"
"hydroponix","ну ты понял"
"hydroponix","дети"
"selenium_wolf","да, у меня есть дети!"
"selenium_wolf","сама не знаю почему"
