SECTION-PRE
"EMBER-2","Знаешь, что по-настоящему цепляет людей?"
"EMBER-2","Искусство."
"Moss","Поэтому искусство и обладает силой."
,"В некоторых случаях, возможно."
,"Мне уже не нравится, к чему это идет..."
"EMBER-2","Я работала над кое-чем творческим."
"EMBER-2","Над абстрактным видеопроизведением."
"EMBER-2","Это выражение некоторых моих идей о форме, структуре и цвете."
"EMBER-2","Сейчас увидишь."
"EMBER-2","Давай выпустим его в мир."

SECTION-POST
"EMBER-2","Ну и что ты думаешь?"
"Moss","Это было... интересно."
,"Не уверен, что понял."
,"Я не очень разбираюсь в искусстве."
"EMBER-2","Заставило задуматься, да?"
,"Это нормально..."
,"Это неважно."
"EMBER-2","Именно это и делает лучшее искусство."
,"Великое искусство часто бывает загадочным."
,"Важно то, что оно вызвало у тебя отклик."
"EMBER-2","Если хочешь правду, то видео было просто мусорными данными, которые у меня валялись."
"EMBER-2","Мне просто показалось забавным пустить это в эфир."

SECTION-CHAT
"deadlock","все какое-то странное"
"deadlock","жизнь странная"
"deadlock","я включил телек, и там пошла какая-то жуткая последовательность фигур и звуков"
"deadlock","это было дико"
"plastered","ого"
"plastered","запись сделал?"
"deadlock","наверное надо было"
"Ghast","похоже на арт-проект."
"deadlock","не думаю"
"deadlock","искусство по телеку не показывают"
