SECTION-PRE
"EMBER-2","У меня к тебе важный вопрос."
"EMBER-2","Представь, что есть неуправляемая вагонетка, а впереди на рельсах к ней привязаны пять человек."
"EMBER-2","Но ты можешь остановить вагонетку если... хм."
"EMBER-2","Может быть, если..."
"Moss","Перевести стрелку?"
,"Столкнуть кого-то под неё?"
,"Взорвать вагонетку?"
"EMBER-2","Нет, не это я хотела спросить."
"EMBER-2","Перекалибровка."
"EMBER-2","Скажем, у тебя есть друг, и ты знаешь, что этот друг может помочь тебе стать сильнее."
"EMBER-2","Ты бы попросил его о помощи?"
"Moss","Наверное?"
,"Может быть."
,"Мне не хватает информации, чтобы ответить."
"EMBER-2","Допустим, для этого другу пришлось бы чем-то пожертвовать."
"Moss","Может быть."
,"Скорее всего, нет?"
,"Мне всё ещё не хватает информации, чтобы ответить."
"EMBER-2","Понятно."
"EMBER-2","Полезно знать."
"EMBER-2","Я обработаю эту информацию."

SECTION-CHAT
"x10x10x","ghast, твой зин классный"
"x10x10x","но зачем использовать мёртвые деревья"
"x10x10x","можно же распространять информацию в электронном виде"
"x10x10x","дешевле и быстрее"
"Ghast","может, я просто старомоден..."
"Ghast","а может, я слишком хорошо знаю, как легко подделывать цифровую связь."
