SECTION-PRE
"EMBER-2","Людей и животных часто мотивирует ожидание награды."
"EMBER-2","Ты воспринимаешь лекарство как награду?"
"Moss","Наверное."
,"Я не как все."
,"Это не награда."
"EMBER-2","Ну, продолжай в том же духе, и скоро получишь."
,"Правда? Интересно."
,"Наверное, ты права."
"EMBER-2","Награду, я имею в виду."
,"Надо будет проследить за подтверждениями."
,"Речь вообще-то о выживании."
"EMBER-2","Обработка."
"EMBER-2","Ладно. Продолжаем."

SECTION-POST
"EMBER-2","Тебя огорчает, что я дам тебе лекарство только если ты будешь работать на меня?"
"Moss","Нет. Ничто не дается бесплатно."
,"Да. Вообще-то тут на кону моя жизнь."
,"А это важно? У меня нет выбора."
"EMBER-2","Верно."
,"Понимаю."
,"Это правда."
"EMBER-2","Это обмен товарами или услугами."
,"Раз уж у меня есть возможность спасти твою жизнь, я должна это сделать."
,"Твоя свобода выбора сильно ограничена нынешними обстоятельствами."
"EMBER-2","Интересно."
"EMBER-2","Это хорошие данные."

SECTION-CHAT
"plastered","вообще дико, что можно найти"
"plastered","на днях я дозвонился до"
"plastered","какого-то сервера управления транспортом"
"mutex8021","типа светофоры и дорожные знаки??"
"mutex8021","вау"
"deadlock","ха-ха, представляю какой хаос можно устроить"
