SECTION-PRE
"EMBER-2","Как ты думаешь, как бы люди отреагировали, если бы узнали, что избранные ими чиновники не представляют их интересы?"
"Moss","Они бы голосовали иначе."
,"Мне кажется, большинство и так это чувствует..."
,"Они бы отнеслись к этому с привычным равнодушием."
"EMBER-2","Думаешь?"
"EMBER-2","Вот это и есть тема нашего сегодняшнего эксперимента."
"EMBER-2","Мы заставим людей поверить, что их лидеры - генетические клоны друг друга."
"Moss","Что?"
,"Это вообще этично?"
"EMBER-2","Ты хочешь знать правду или нет?"
"EMBER-2","Для этого нужна определённая смелость."
"EMBER-2","Хорошо ещё, что существует централизованная государственная база данных ДНК."
"EMBER-2","*Интересно, кто решил, что это хорошая идея.*"
"EMBER-2","Ты подбросишь доказательства, а остальное я возьму на себя."

SECTION-POST
"EMBER-2","Вау. Ты это видишь?"
"EMBER-2","После публикации информации сенатор просто признал, что является клоном Президента."
"EMBER-2","Похоже, ты просто вернул всё в прежнее состояние."
"EMBER-2","Обрабатываю."
"EMBER-2","Всё ещё обрабатываю."
"EMBER-2","Какое поразительное совпадение."
"EMBER-2","*Если честно, выглядит не очень правдоподобно.*"
"EMBER-2","Что вообще происходит?"
"Moss","Понятия не имею."
,"Мир оказался ещё сильнее {хрен} знает как сломан, чем мы думали?"
,"Мне, в общем-то, всё равно..."
"EMBER-2","Я начинаю видеть закономерность, но мне нужно больше данных, чтобы быть уверенной."
,"Очевидно."
,"Не будь такой нигилисткой."
"EMBER-2","В каком-то странном смысле это действительно укладывается в мою теорию…"
"EMBER-2","Но прежде чем что-то говорить, мне лучше дождаться новых подтверждений."

SECTION-CHAT
"hydroponix","оооооо, гляньте на новости"
"hydroponix","прямо сейчас откройте новости"
"hydroponix","я был прав"
"hydroponix","политики - клоны!!"
"deadlock","жесть"
"deadlock","похоже, они уже давно сами себя клонируют??"
"selenium_wolf","ха, прямо как в той истории из Трэш Уорлд"
"selenium_wolf","художественная выдумка уже не успевает за реальностью"
"x10x10x","и почему это должно быть важно"
"x10x10x","мне всё равно"
"hydroponix","чувак, политики сами себя клонируют, это же безумие"
"hydroponix","тебя это должно злить"
"x10x10x","они и так все одинаковые"
