SECTION-PRE,
"EMBER-2","Ты собираешься участвовать в хакерской битве?"
"EMBER-2","Но ты же вообще ничего не пишешь в чат-комнате..."
"Moss","Я теперь только читаю из тени."
,"EXA говорят громче слов."
"EMBER-2","Полагаю, единственное, что действительно важно, - это твои способности."
"Moss","Так и должно быть."
,"В теории..."
"EMBER-2","Красивый идеал."
,
SECTION-POST,
"EMBER-2","Для начала ты идёшь очень неплохо."
"EMBER-2","Я знала, что ты был хорош в своём деле."
"EMBER-2","Даже после того как всё забыл, ты быстро вернул форму."
"EMBER-2","Поэтому я и связалась с тобой."
"Moss","Ты нашла нужного человека."
,"Но чего ты на самом деле хочешь?"
"EMBER-2","Нет, конечно же, я не просто заговорила с первым встречным человеком, который, как мне показалось, умеет программировать."
,"Всё, что мне было нужно, - немного взлома с твоей стороны."
"EMBER-2","Это было бы глупо."
,"Вот и всё. Правда."
,
SECTION-CHAT,
"mutex8021","кто такой moss"
"deadlock","moss!!!"
"mutex8021","moss пришёл на телестанцию и победил меня"
"x10x10x","ого"
"x10x10x","о moss уже много лет ничего не было слышно"
"deadlock","а что если moss вернулся"
"deadlock","ааааа"
"plastered","я думал, moss умер"
"Ghast","Могу подтвердить, что moss жив."
"plastered","серьёзно?"
"plastered","откуда ты знаешь"
"Ghast","скажем так, я в этом почти уверен."
"x10x10x","круто, я тоже пойду биться с moss"
