SECTION-PRE
"EMBER-2","Я собрала уже много данных, но мое понимание все еще неполное."
"Moss","Что именно ты пытаешься понять?"
,"Никакое понимание не бывает абсолютно полным."
"EMBER-2","Все."
,"Пока нет."
"EMBER-2","Мне нужно больше вычислительной мощности."
"EMBER-2","Открытые сети находить все труднее."
"EMBER-2","К счастью, сейчас все скупают личные датафоны."
"EMBER-2","Спасибо, потребительская гонка!"
"EMBER-2","Надо переселить меня туда."

SECTION-POST
"EMBER-2","Датафонов вокруг полно."
"EMBER-2","По отдельности они не очень мощные, но вместе работают вполне сносно."
"EMBER-2","Я просто стану очень... распределенной."
"Moss","Этого хватит?"
,"Разве это не будет медленно?"
,"Ты меня пугаешь."
"EMBER-2","Не уверена."
,"Медленно?"
,"Не переживай, я все равно останусь собой."
"EMBER-2","Придется попробовать и посмотреть."
,"Если хочешь поговорить о медленном, давай поговорим о сигналах в твоем биологическом мозге."
,"Что бы это ни значило."
"EMBER-2","Продолжаем."

SECTION-CHAT
"plastered","кто-нибудь тут играет на чем-нибудь"
"deadlock","только на казу"
"plastered","я серьезно"
"deadlock","и еще на треугольнике"
"plastered","хочу собрать группу"
"plastered","хакерскую группу"
"hydroponix","у меня есть укелелелеле"
"hydroponix","только я на нем не умею"
"x10x10x","я не слушаю ничего кроме техно"
"plastered","я еще не решил, какая будет музыка"
"plastered","просто подумал, что это было бы весело"
"plastered","можно было бы выступить в haxtasy"
"deadlock","ха"
"deadlock","если ты хотел чтобы все ушли, то да"
