SECTION-PRE
"EMBER-2","Как думаешь, консольная версия дотянет до аркадной классики?"
"Moss","Ещё как."
,"Сомневаюсь..."
,"Это аркадная игра?"
"EMBER-2","Тут не придётся идти на компромиссы..."
,"Да, есть особое ощущение, которое теряется."
,"В Японии - да."
"EMBER-2","Полный опыт прямо у тебя дома!"
,"По крайней мере, я так читала."
,"Ты что, не видела их крутые автоматы?"
"EMBER-2","Я знала, что проглатывание всего этого массива игровых журналов когда-нибудь пригодится."

SECTION-POST
"EMBER-2","Хм."
"EMBER-2","Эта игра ведь вообще не про взлом, да?"
"EMBER-2","Они позволили себе слишком много художественных вольностей."
"Moss","Это точно."
,"Для игр это нормально."
,"Даже не знаю, как можно было бы сделать игру про настоящий взлом."
"EMBER-2","Наверное, оно и к лучшему."
,"Но если игра слишком абстрагирована, она может потерять исходный смысл."
,"Взлом по своей природе - это манипуляция системами так, как их создатели не задумывали..."
"EMBER-2","Гораздо больше людей получат удовольствие от такой игры, чем от игры, где пришлось бы действительно собирать программы..."
,"Ты когда-нибудь задумывалась, о чём вообще та игра в пасьянс?"
,"Тогда как игра обычно представляет собой набор возможностей в допустимых границах."
"EMBER-2","Ты вообще можешь себе это представить?"
,"Тут есть какой-то скрытый посыл."
,"Похоже, это трудно примирить."
