SECTION-PRE
"Nivas","Доставка..."
"Moss","Nivas вручает мне лекарство."
"Moss","На этот раз это уже настоящая версия, \"освобожденная\" у фармкомпании..."
"Moss","Я думал, она будет выглядеть внушительнее подделки, но на вид почти то же самое."
"Nivas","Честно говоря, я думал, что больше тебя не увижу."
"Nivas","Не верилось, что ты сумеешь собрать такие деньги."
"Nivas","Так что чем бы ты ни занимался... уважение."
"Moss","Nivas передает мне еще одну упаковку лекарства... и еще одну."
"Nivas","Это поставки заранее."
"Nivas","Пожалуй, мне надо немного притормозить."
"Nivas","После той операции и всех тех людей, о которых я говорил..."
"Nivas","Для меня стало слишком жарко."
"Nivas","Придется залечь на дно."
"Nivas","Почитаю что-нибудь, подумаю о мире, в котором мы живем..."
"Nivas","Почему-то в последнее время меня тянет на духовность."
"Nivas","В любом случае, приятно было иметь с тобой дело."
"Nivas","Береги себя."
"Moss","Nivas закрывает дверь, оставляя меня с остатком лекарства."
ACTION-CLOSE-DOOR
"Moss","Интересный человек."
"Moss","Все делают что могут, лишь бы выжить..."

SECTION-CHAT
"NthDimension","йо"
"NthDimension","сорри, я надолго пропал"
"NthDimension","мне запретили компьютер, ха-ха"
"mutex8021","бу"
"selenium_wolf","эээх."
"x10x10x","без обид, но твои родители отстой"
"NthDimension","есть такое"
"NthDimension","в смысле в целом они норм, но иногда вообще не понимают"
"NthDimension","они думают, что я делаю что-то плохое"
"selenium_wolf","а ты пробовал им это объяснить?"
"NthDimension","типа того"
"mutex8021","знакомо"
"hydroponix","ага, то же самое"
"Ghast","Думаю, у всех нас так бывало."
