SECTION-PRE
"EMBER-2","Как думаешь, зачем Ghast тебе это дал?"
"Moss","Не уверен."
,"Наверное, решил, что мне понравится с этим возиться..."
"EMBER-2","Он что-то с этого получает?"
,"Это то, чем обычно занимаешься ты?"
"EMBER-2","Полагаю, ему нравится помогать людям."
,"Как мило с его стороны."
"EMBER-2","Какой хороший парень."
"EMBER-2","Жаль только, что набор разработчика защищен паролем."
"EMBER-2","Надо было ему об этом подумать."
"EMBER-2","Но это ведь тебя не остановит..."

SECTION-POST
"EMBER-2","Так Ghast раньше работал в игровой студии?"
"Moss","Не помню..."
,"Да, он был программистом."
,"Всем же нужно как-то зарабатывать."
"EMBER-2","Интересно, как это было."
"Moss","Думаю, было весело, пока длилось."
,"Наверняка ужасно."
"EMBER-2","Выжимать из консоли максимум..."
,"Дедлайны... требования..."
"EMBER-2","Делать что-то, что приносит людям радость..."
,"Людям..."
"EMBER-2","Да, это я понимаю."

SECTION-CHAT
"deadlock","только что получил второй выпуск!! {hell} да"
"deadlock","не могу дождаться пока вчитаюсь"
"mutex8021","мне нравится что он на бумаге :)"
"mutex8021","так старомодно и мило"
"Ghast","ух. спасибо, что заставил меня почувствовать себя старым, mutex."
"mutex8021",":)"
"SYSTEM","=plastered трясет тростью на молодежь"
"plastered","с моей лужайки вон"
"mutex8021","D:"
"deadlock","дядя plastered сегодня разошелся"
