SECTION-PRE,
"EMBER-2","Насчет твоей левой руки."
"EMBER-2","Лекарство останавливает распространение болезни, но такие вещи оно не исправит."
"EMBER-2","С этим тебе придется разбираться самому."
"Moss","Ээ..."
,"То есть взломать собственное тело?"
,"Это будет странно."
"EMBER-2","Вот почему было важно, чтобы ты заново освоил эти навыки."
,"Да, именно."
,"Ну, не знаю."
"EMBER-2","Хорошо, что я нашла тебя именно тогда."
,"Если можно взламывать что угодно, почему не собственное тело?"
,"Я сама себя все время правлю."
,
SECTION-POST,
"EMBER-2","Этот хотфикс должен сохранить тебе полезность хотя бы еще на какое-то время."
"EMBER-2","Хорошо, что у меня нет тела."
"Moss","Еще как."
,"Привыкаешь."
"EMBER-2","Могу себе представить."
,"Если ты так говоришь."
"EMBER-2","Похоже, от него одни хлопоты."
"EMBER-2","Может быть, однажды... ладно, об этом потом."
,
SECTION-CHAT,
"mutex8021","ааааа"
"mutex8021","я сломал клавишу tab"
"mutex8021","слишком много степа в «Экзодусе»"
"deadlock","ха"
"deadlock","если сделать <INSERT_RUN_TO_INSTRUCTION_KEY_COMBO> на инструкции, программа дойдет до нее и остановится"
"deadlock","очень удобно"
"mutex8021","чегооооооо"
"mutex8021","я не знал"
"deadlock","теперь знаешь"
"mutex8021","слишком поздно для tab :("
