SECTION-PRE,
"Isadora","Эй?"
ACTION-CLOSE-DOOR
"Isadora","Ты там?"
"Moss","Этот голос..."
"Moss","Это Isadora."
"Moss","Имя помню, а больше почти ничего..."
"Moss","Разве я не знаю ее уже очень давно?"
"Isadora","Привет. Я принесла тебе немного перекусить."
ACTION-OPEN-DOOR,
"Isadora","Это, эм, «Пинат Бласт», только без арахиса."
"Isadora","Похоже, на фабрике что-то напутали, и теперь у нас куча таких, которые нельзя продать."
"Isadora","Выбрасывать было бы жалко."
"Moss","Isadora вручает мне несколько батончиков «Пинат Бласт» без арахиса."
"Isadora","Надеюсь, у тебя все нормально."
"Isadora","Надо как-нибудь снова выбраться вместе."
"Isadora","Правда, свободного времени у меня теперь почти нет."
"Isadora","Работа в «Ласт Стоп» буквально захватила мою жизнь."
"Isadora","Кстати об этом... мне пора обратно."
"Isadora","Береги себя, ладно?"

SECTION-CHAT
"Ghast","странно."
"Ghast","я только что был в копицентре. мой баланс там исчез."
"selenium_wolf","круто!"
"Ghast","не думаю, что кто-то из вас к этому причастен."
"SYSTEM","Ghast оглядывает комнату."
"x10x10x","это не я"
"deadlock","если бы это был я, я бы признался?"
"selenium_wolf","ха-ха"
"Ghast","ну кто бы это ни был. спасибо."
