SECTION-PRE,
"EMBER-2","Ты знал, что люди платят настоящие деньги за предметы в онлайн-играх?"
"Moss","Да, это обычное дело."
,"Настоящие деньги за виртуальные предметы?"
,"Неудачники..."
"EMBER-2","Похоже, это очень прибыльный бизнес."
"EMBER-2","Некоторые игроки даже зарабатывают этим на жизнь."
"EMBER-2","Обычно для этого нужны серьезные навыки и упорство."
"EMBER-2","Но если бы кто-то смог сменить владельцев этих цифровых объектов..."
"EMBER-2","Теоретически такой человек мог бы разбогатеть за одну ночь."
"EMBER-2","Разумеется, я не предлагаю тебе этого делать."
"EMBER-2","Но именно это я и предлагаю попробовать."
,
SECTION-POST,
"EMBER-2","О. Они просто выключили всю игру."
"EMBER-2","Что-то там про \"хакеров\" или вроде того?"
"EMBER-2","Пожалуй, это про тебя."
"EMBER-2","Люди воспринимают это слишком серьезно."
"Moss","Игры - это серьезное дело."
,"Там ведь настоящие деньги..."
,"Их проблемы."
"EMBER-2","Люди ведут себя так, будто онлайн-мир чем-то отличается, но на самом деле нет."
"EMBER-2","По крайней мере, если говорить о поведении людей."
,
SECTION-CHAT,
"mutex8021","оооо {shit}"
"hydroponix","что"
"mutex8021","у моей гильдии украли замок"
"mutex8021","меня просто выкинуло"
"mutex8021","и теперь он больше не наш???"
"mutex8021",":("
"selenium_wolf","похоже, его взломали"
"deadlock","да уж, это жестко..."
"selenium_wolf","но это же разработчики игр"
"selenium_wolf","они пишут один из самых дырявых софтов на свете"
"mutex8021",":( :( :("
